client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,time
f1763_25,1,,157,train,26414840,26414840,7393688400,2.190321720998327,37.18863777100341,39.37895949200174,2.190321720998327
f0365_07,1,,285,train,26414840,26414840,13203015000,3.9661811869955272,39.3845786400052,43.35075982700072,3.9661811869955272
f0610_38,1,,278,train,26414840,26414840,13203015000,3.7893682259964407,43.357028791004275,47.146397017000716,3.7893682259964407
f1851_06,1,,136,train,26414840,26414840,6337447200,1.8769534340026441,47.152232783002546,49.02918621700518,1.8769534340026441
f3841_01,1,,178,train,26414840,26414840,8449929600,2.378625004996138,49.03540800200426,51.4140330070004,2.378625004996138
f3758_19,1,,176,train,26414840,26414840,7921809000,2.3451055299956347,51.41972188200453,53.76482741200016,2.3451055299956347
f0166_12,1,,311,train,26414840,26414840,14259256200,4.13078614900587,53.77042796000024,57.9012141090061,4.13078614900587
f3230_21,1,,183,train,26414840,26414840,8449929600,2.4511680159994285,57.90713184500054,60.35829986099998,2.4511680159994285
f1121_47,1,,238,train,26414840,26414840,11090532600,3.190821171003336,60.364055135003575,63.55487630600692,3.190821171003336
f1472_37,1,,387,train,26414840,26414840,17956100400,5.137035361003655,63.56061376100115,68.69764912200479,5.137035361003655
f0114_20,1,,302,train,26414840,26414840,14259256200,4.028746685995428,68.70339620000595,72.73214288600138,4.028746685995428
f2160_96,1,,176,train,26414840,26414840,7921809000,2.33708667299652,72.73790986300446,75.07499653600098,2.33708667299652
f3904_45,1,,153,train,26414840,26414840,6865567800,2.0472373019947554,75.08076527800586,77.12800258000061,2.0472373019947554
f2499_74,1,,160,train,26414840,26414840,7393688400,2.1471485489964834,77.13368407600503,79.2808326250015,2.1471485489964834
f3721_04,1,,179,train,26414840,26414840,8449929600,2.4029038149965345,79.28651507600443,81.68941889100097,2.4029038149965345
f3465_24,1,,165,train,26414840,26414840,7393688400,2.188768612999411,81.69514734700351,83.88391596000292,2.188768612999411
f2346_88,1,,169,train,26414840,26414840,7921809000,2.2733176600013394,83.88953792500251,86.16285558500385,2.2733176600013394
f2042_30,1,,166,train,26414840,26414840,7393688400,2.2096378759961226,86.16867419900518,88.3783120750013,2.2096378759961226
f1512_39,1,,140,train,26414840,26414840,6337447200,1.8820841439955984,88.38419936500576,90.26628350900135,1.8820841439955984
