experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
clients,femnist,3,"E = 1, tx = 1.0",42,3,805.5947816380001,102.002948532,907.5977301700001,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,femnist,3,"E = 1, tx = 1.0",1337,3,805.5947816380001,103.48832119399998,909.0831028320001,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,femnist,3,"E = 1, tx = 1.0",2026,3,805.5947816380001,101.433328648,907.028110286,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,femnist,3,"E = 1, tx = 1.0",8888,3,805.5947816380001,103.558011102,909.15279274,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,femnist,3,"E = 1, tx = 1.0",9999,3,805.5947816380001,103.601872526,909.1966541639999,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,femnist,5,"E = 1, tx = 1.0",42,5,949.462889444,114.30016356599998,1063.76305301,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,femnist,5,"E = 1, tx = 1.0",1337,5,949.462889444,116.57780146799996,1066.0406909119997,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,femnist,5,"E = 1, tx = 1.0",2026,5,949.462889444,114.51320454799998,1063.976093992,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,femnist,5,"E = 1, tx = 1.0",8888,5,949.462889444,117.36218816599998,1066.8250776099999,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,femnist,5,"E = 1, tx = 1.0",9999,5,949.462889444,117.38183149199998,1066.844720936,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,femnist,10,"E = 1, tx = 1.0",42,10,1181.198059626,174.9913996,1356.1894592259998,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,femnist,10,"E = 1, tx = 1.0",1337,10,1181.198059626,176.09428889400002,1357.29234852,250,277,2.0,500,metrics_network_heterogeneous_femnist_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
