client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,time
f1008_28,1,,365,train,26414840,26414840,16899859200,2.459477847442031,19.857371991500262,22.31684983894229,2.459477847442031
f3563_46,1,,180,train,26414840,26414840,8449929600,1.2101801745593548,22.334760515019298,23.54494068957865,1.2101801745593548
f1182_38,1,,351,train,26414840,26414840,16371738600,2.319513197988272,23.558502035215497,25.87801523320377,2.319513197988272
f1022_17,1,,275,train,26414840,26414840,12674894400,1.8286736942827704,25.89326262101531,27.72193631529808,1.8286736942827704
f2520_64,1,,179,train,26414840,26414840,8449929600,1.2139718122780323,27.73575034737587,28.949722159653906,1.2139718122780323
f2483_64,1,,170,train,26414840,26414840,7921809000,1.1592427659779787,28.96413731388748,30.123380079865452,1.1592427659779787
f0089_16,1,,369,train,26414840,26414840,17427979800,2.4716324843466277,30.137197772040963,32.60883025638759,2.4716324843466277
f3730_33,1,,172,train,26414840,26414840,7921809000,1.151896508410573,32.62690164707601,33.778798155486584,1.151896508410573
f2186_55,1,,172,train,26414840,26414840,7921809000,1.1660112198442218,33.796818144619465,34.962829364463694,1.1660112198442218
f1810_02,1,,109,train,26414840,26414840,4753085400,0.7480625286698341,34.979868615046136,35.72793114371598,0.7480625286698341
f3319_48,1,,159,train,26414840,26414840,7393688400,1.0827221218496559,35.74292969331145,36.82565181516111,1.0827221218496559
f3454_44,1,,128,train,26414840,26414840,5809326600,0.8858066275715828,36.83975630812347,37.725562935695045,0.8858066275715828
f0058_07,1,,272,train,26414840,26414840,12674894400,1.814967850223184,37.74374034069479,39.55870819091797,1.814967850223184
f1897_40,1,,149,train,26414840,26414840,6865567800,1.0195573847740889,39.57176749967039,40.591324884444475,1.0195573847740889
f3924_24,1,,173,train,26414840,26414840,7921809000,1.1560825519263744,40.60564792715014,41.76173047907651,1.1560825519263744
f1579_11,1,,173,train,26414840,26414840,7921809000,1.153456287458539,41.7778176870197,42.93127397447825,1.153456287458539
f0618_44,1,,248,train,26414840,26414840,11618653200,1.6713715754449368,42.94619740359485,44.617568979039795,1.6713715754449368
f0240_02,1,,108,train,26414840,26414840,4753085400,0.7289369590580463,44.634872617200024,45.363809576258056,0.7289369590580463
f1158_21,1,,232,train,26414840,26414840,10562412000,1.5363108422607183,45.38156534545124,46.917876187711954,1.5363108422607183
f0981_17,1,,339,train,26414840,26414840,15843618000,2.266553746536374,46.93522143177689,49.201775178313255,2.266553746536374
f1336_30,1,,262,train,26414840,26414840,12146773800,1.7377354372292757,49.21949268504977,50.95722812227904,1.7377354372292757
f0690_26,1,,193,train,26414840,26414840,8978050200,1.3044312242418528,50.972669696435325,52.277100920677185,1.3044312242418528
f0048_00,1,,132,train,26414840,26414840,5809326600,0.8766116406768559,52.296487027779214,53.17309866845608,0.8766116406768559
f2148_78,1,,178,train,26414840,26414840,8449929600,1.1715226639062166,53.19162513129414,54.36314779520035,1.1715226639062166
f1128_24,1,,110,train,26414840,26414840,4753085400,0.7317847590893507,54.382274620234966,55.114059379324324,0.7317847590893507
f2328_92,1,,167,train,26414840,26414840,7921809000,1.099064027890563,55.1283860206604,56.227450048550956,1.099064027890563
f2557_98,1,,174,train,26414840,26414840,7921809000,1.1561599932610989,56.24433659948409,57.40049659274519,1.1561599932610989
f1724_42,1,,160,train,26414840,26414840,7393688400,1.1004882641136646,57.41836706548929,58.51885532960296,1.1004882641136646
f2339_76,1,,176,train,26414840,26414840,7921809000,1.2091837488114834,58.536097185686224,59.74528093449771,1.2091837488114834
f3814_43,1,,180,train,26414840,26414840,8449929600,1.2276944164186716,59.75854161940514,60.98623603582382,1.2276944164186716
